	gene	tss	chrom
1644	ENSMUSG00000021595	69533746	13
1645	ENSMUSG00000021597	77047397	13
1646	ENSMUSG00000021598	69802395	13
1647	ENSMUSG00000021606	73328452	13
1648	ENSMUSG00000021607	73328513	13
1649	ENSMUSG00000021608	73467197	13
1650	ENSMUSG00000021610	73604006	13
1651	ENSMUSG00000021611	73626911	13
1652	ENSMUSG00000021614	89678121	13
1653	ENSMUSG00000021621	91800980	13
1654	ENSMUSG00000021629	100806963	13
1655	ENSMUSG00000021635	100624594	13
1656	ENSMUSG00000021639	100462157	13
1657	ENSMUSG00000021645	100124852	13
1658	ENSMUSG00000021646	99961050	13
1659	ENSMUSG00000021650	99344705	13
1660	ENSMUSG00000021660	98311515	13
1661	ENSMUSG00000021661	98263074	13
1662	ENSMUSG00000021665	97198295	13
1663	ENSMUSG00000021666	97137937	13
1664	ENSMUSG00000021668	96489791	13
1665	ENSMUSG00000021669	96542618	13
1666	ENSMUSG00000021670	96652803	13
1667	ENSMUSG00000021671	96388294	13
1668	ENSMUSG00000021678	95525227	13
1669	ENSMUSG00000021681	95375334	13
1670	ENSMUSG00000021686	94358960	13
1671	ENSMUSG00000021687	94246558	13
1672	ENSMUSG00000021690	93499737	13
1673	ENSMUSG00000021692	106947127	13
1674	ENSMUSG00000021693	106977118	13
1675	ENSMUSG00000021694	108158731	13
1676	ENSMUSG00000021696	108214404	13
1677	ENSMUSG00000021697	108316332	13
1678	ENSMUSG00000021699	108449948	13
1679	ENSMUSG00000021701	110395046	13
1680	ENSMUSG00000021707	92354726	13
1681	ENSMUSG00000021710	104034573	13
1682	ENSMUSG00000021711	104178407	13
1683	ENSMUSG00000021712	104178797	13
1684	ENSMUSG00000021713	104228766	13
1685	ENSMUSG00000021714	104228611	13
1686	ENSMUSG00000021715	104792615	13
1687	ENSMUSG00000021716	104792484	13
1688	ENSMUSG00000021728	117208536	13
1689	ENSMUSG00000021731	118386681	13
1690	ENSMUSG00000021733	14702279	14
1691	ENSMUSG00000021737	14116550	14
1692	ENSMUSG00000021745	11553532	14
1693	ENSMUSG00000021747	8666239	14
1694	ENSMUSG00000021748	8167096	14
1695	ENSMUSG00000021752	8214140	14
1696	ENSMUSG00000021754	111751373	13
1697	ENSMUSG00000021756	112464070	13
1698	ENSMUSG00000021758	112652301	13
1699	ENSMUSG00000021759	112800792	13
1700	ENSMUSG00000021764	114388049	13
1701	ENSMUSG00000021767	21481434	14
1702	ENSMUSG00000021770	21750531	14
1703	ENSMUSG00000021771	21825238	14
1704	ENSMUSG00000021772	18271136	14
1705	ENSMUSG00000021773	21847810	14
1706	ENSMUSG00000021774	18327291	14
1707	ENSMUSG00000021775	18212372	14
1708	ENSMUSG00000021782	24146188	14
1709	ENSMUSG00000021785	16249280	14
1710	ENSMUSG00000021794	34310727	14
1711	ENSMUSG00000021796	34460556	14
1712	ENSMUSG00000021806	19751265	14
1713	ENSMUSG00000021807	19823055	14
1714	ENSMUSG00000021810	20348050	14
1715	ENSMUSG00000021811	20388401	14
1716	ENSMUSG00000021814	20459169	14
1717	ENSMUSG00000021816	20503770	14
1718	ENSMUSG00000021820	20739367	14
1719	ENSMUSG00000021823	20929398	14
1720	ENSMUSG00000021824	21052077	14
1721	ENSMUSG00000021830	45169325	14
1722	ENSMUSG00000021831	45299065	14
1723	ENSMUSG00000021832	45329788	14
1724	ENSMUSG00000021835	46387304	14
1725	ENSMUSG00000021840	47298266	14
1726	ENSMUSG00000021843	47648448	14
1727	ENSMUSG00000021848	48661932	14
1728	ENSMUSG00000021868	25694154	14
1729	ENSMUSG00000021870	26430101	14
1730	ENSMUSG00000021871	50944517	14
1731	ENSMUSG00000021877	26638074	14
1732	ENSMUSG00000021890	31494399	14
1733	ENSMUSG00000021891	31482647	14
1734	ENSMUSG00000021893	31336638	14
1735	ENSMUSG00000021895	27114899	14
1736	ENSMUSG00000021901	31251450	14
1737	ENSMUSG00000021902	31239994	14
1738	ENSMUSG00000021905	32085286	14
1739	ENSMUSG00000021906	32085374	14
1740	ENSMUSG00000021908	119260978	12
1741	ENSMUSG00000021910	31173728	14
1742	ENSMUSG00000021911	32201949	14
1743	ENSMUSG00000021913	32322019	14
1744	ENSMUSG00000021916	31001400	14
1745	ENSMUSG00000021917	31001350	14
1746	ENSMUSG00000021918	30951377	14
1747	ENSMUSG00000021928	61360320	14
1748	ENSMUSG00000021929	61373091	14
1749	ENSMUSG00000021930	61556758	14
1750	ENSMUSG00000021932	62292589	14
1751	ENSMUSG00000021936	33389228	14
1752	ENSMUSG00000021938	56761867	14
1753	ENSMUSG00000021939	63122462	14
1754	ENSMUSG00000021945	56886653	14
1755	ENSMUSG00000021947	57398456	14
1756	ENSMUSG00000021948	30600207	14
1757	ENSMUSG00000021951	57569929	14
1758	ENSMUSG00000021952	57648657	14
1759	ENSMUSG00000021953	63497139	14
1760	ENSMUSG00000021957	30548359	14
1761	ENSMUSG00000021958	63860364	14
1762	ENSMUSG00000021962	30479535	14
1763	ENSMUSG00000021963	57798180	14
1764	ENSMUSG00000021965	57810294	14
1765	ENSMUSG00000021967	57826234	14
1766	ENSMUSG00000021969	57839161	14
1767	ENSMUSG00000021975	64950045	14
1768	ENSMUSG00000021978	65098105	14
1769	ENSMUSG00000021981	59440972	14
1770	ENSMUSG00000021982	59597836	14
1771	ENSMUSG00000021987	60265228	14
1772	ENSMUSG00000021993	60784573	14
1773	ENSMUSG00000021996	74732297	14
1774	ENSMUSG00000022000	75284373	14
1775	ENSMUSG00000022008	76110760	14
1776	ENSMUSG00000022009	76110891	14
1777	ENSMUSG00000022010	76414961	14
1778	ENSMUSG00000022012	77156763	14
1779	ENSMUSG00000022013	77840209	14
1780	ENSMUSG00000022016	78503971	14
1781	ENSMUSG00000022019	87416639	14
1782	ENSMUSG00000022020	79343197	14
1783	ENSMUSG00000022021	86748844	14
1784	ENSMUSG00000022022	79397772	14
1785	ENSMUSG00000022023	79467419	14
1786	ENSMUSG00000022024	79587691	14
1787	ENSMUSG00000022031	65593050	14
1788	ENSMUSG00000022033	65805837	14
1789	ENSMUSG00000022034	65827207	14
1790	ENSMUSG00000022035	65837302	14
1791	ENSMUSG00000022037	65968483	14
1792	ENSMUSG00000022040	66110660	14
1793	ENSMUSG00000022043	66297031	14
1794	ENSMUSG00000022048	66868688	14
1795	ENSMUSG00000022051	66989841	14
1796	ENSMUSG00000022052	67024659	14
1797	ENSMUSG00000022055	68083863	14
1798	ENSMUSG00000022064	99099424	14
1799	ENSMUSG00000022070	99046222	14
1800	ENSMUSG00000022074	69767472	14
1801	ENSMUSG00000022089	70100105	14
1802	ENSMUSG00000022094	70311240	14
1803	ENSMUSG00000022099	70617392	14
1804	ENSMUSG00000022100	70685557	14
1805	ENSMUSG00000022101	70642254	14
1806	ENSMUSG00000022106	73123037	14
1807	ENSMUSG00000022108	73368505	14
1808	ENSMUSG00000022109	73510025	14
1809	ENSMUSG00000022110	73525319	14
1810	ENSMUSG00000022111	101653967	14
1811	ENSMUSG00000022114	105896819	14
1812	ENSMUSG00000022119	105130337	14
1813	ENSMUSG00000022120	104522622	14
1814	ENSMUSG00000022124	103089817	14
1815	ENSMUSG00000022125	103070216	14
1816	ENSMUSG00000022130	118132744	14
1817	ENSMUSG00000022131	118137158	14
1818	ENSMUSG00000022136	118937976	14
1819	ENSMUSG00000022141	8444463	15
1820	ENSMUSG00000022142	8109273	15
1821	ENSMUSG00000022148	6522853	15
1822	ENSMUSG00000022151	5185525	15
1823	ENSMUSG00000022159	52269106	14
1824	ENSMUSG00000022160	52296669	14
1825	ENSMUSG00000022174	54253914	14
1826	ENSMUSG00000022177	54543835	14
1827	ENSMUSG00000022178	54572082	14
1828	ENSMUSG00000022185	54644210	14
1829	ENSMUSG00000022186	4026383	15
1830	ENSMUSG00000022191	12824815	15
1831	ENSMUSG00000022193	54618008	14
1832	ENSMUSG00000022195	12817900	15
1833	ENSMUSG00000022200	12321450	15
1834	ENSMUSG00000022201	12117831	15
1835	ENSMUSG00000022204	55015454	14
1836	ENSMUSG00000022205	11995750	15
1837	ENSMUSG00000022210	55478758	14
1838	ENSMUSG00000022214	55560006	14
1839	ENSMUSG00000022216	55578123	14
1840	ENSMUSG00000022218	55713088	14
1841	ENSMUSG00000022223	55899855	14
1842	ENSMUSG00000022228	21453660	13
1843	ENSMUSG00000022234	31593061	15
1844	ENSMUSG00000022241	11387345	15
1845	ENSMUSG00000022244	10981756	15
1846	ENSMUSG00000022246	10600087	15
1847	ENSMUSG00000022247	10485385	15
1848	ENSMUSG00000022248	10486018	15
1849	ENSMUSG00000022253	9071260	15
1850	ENSMUSG00000022255	34082694	15
1851	ENSMUSG00000022257	34238028	15
1852	ENSMUSG00000022272	25622525	15
1853	ENSMUSG00000022280	36283098	15
1854	ENSMUSG00000022283	36597426	15
1855	ENSMUSG00000022285	36792414	15
1856	ENSMUSG00000022286	37233036	15
1857	ENSMUSG00000022292	37948442	15
1858	ENSMUSG00000022295	38661933	15
1859	ENSMUSG00000022299	39112632	15
1860	ENSMUSG00000022300	39112865	15
1861	ENSMUSG00000022304	39793251	15
1862	ENSMUSG00000022307	41447482	15
1863	ENSMUSG00000022312	51790549	15
1864	ENSMUSG00000022313	51877429	15
1865	ENSMUSG00000022314	51991510	15
1866	ENSMUSG00000022322	4746424	8
1867	ENSMUSG00000022323	34489686	15
1868	ENSMUSG00000022325	34495304	15
1869	ENSMUSG00000022329	34960237	15
1870	ENSMUSG00000022336	43268487	15
1871	ENSMUSG00000022337	43477229	15
1872	ENSMUSG00000022338	44428042	15
1873	ENSMUSG00000022346	61985391	15
1874	ENSMUSG00000022350	59352529	15
1875	ENSMUSG00000022351	59315077	15
1876	ENSMUSG00000022353	58953580	15
1877	ENSMUSG00000022354	58933756	15
1878	ENSMUSG00000022359	58141377	15
1879	ENSMUSG00000022360	58098776	15
1880	ENSMUSG00000022361	58076214	15
1881	ENSMUSG00000022364	57912199	15
1882	ENSMUSG00000022365	57890394	15
1883	ENSMUSG00000022369	55557408	15
1884	ENSMUSG00000022370	55548164	15
1885	ENSMUSG00000022377	64102542	15
1886	ENSMUSG00000022378	63961543	15
1887	ENSMUSG00000022385	85859745	15
1888	ENSMUSG00000022386	85879312	15
1889	ENSMUSG00000022387	88700864	15
1890	ENSMUSG00000022390	81745057	15
1891	ENSMUSG00000022391	81710460	15
1892	ENSMUSG00000022394	81663889	15
1893	ENSMUSG00000022400	81466296	15
1894	ENSMUSG00000022401	81400138	15
1895	ENSMUSG00000022403	81385926	15
1896	ENSMUSG00000022404	81325047	15
1897	ENSMUSG00000022407	80948490	15
1898	ENSMUSG00000022412	80234018	15
1899	ENSMUSG00000022415	80091334	15
1900	ENSMUSG00000022419	55112317	15
1901	ENSMUSG00000022420	79764881	15
1902	ENSMUSG00000022422	55087757	15
1903	ENSMUSG00000022426	79687919	15
1904	ENSMUSG00000022427	79670861	15
1905	ENSMUSG00000022428	79659199	15
1906	ENSMUSG00000022433	79421315	15
1907	ENSMUSG00000022434	85028948	15
1908	ENSMUSG00000022436	78899768	15
1909	ENSMUSG00000022437	84192241	15
1910	ENSMUSG00000022442	83510793	15
1911	ENSMUSG00000022443	77767190	15
1912	ENSMUSG00000022450	82351207	15
1913	ENSMUSG00000022451	94581386	15
1914	ENSMUSG00000022452	82338959	15
1915	ENSMUSG00000022462	96698691	15
1916	ENSMUSG00000022463	82147181	15
1917	ENSMUSG00000022464	97019951	15
1918	ENSMUSG00000022466	97680353	15
1919	ENSMUSG00000022471	81987835	15
1920	ENSMUSG00000022472	82016011	15
1921	ENSMUSG00000022474	81952264	15
1922	ENSMUSG00000022476	81915129	15
1923	ENSMUSG00000022477	81872309	15
1924	ENSMUSG00000022490	103537994	15
1925	ENSMUSG00000022498	11084785	16
1926	ENSMUSG00000022500	10975579	16
1927	ENSMUSG00000022503	10411948	16
1928	ENSMUSG00000022507	8830100	16
1929	ENSMUSG00000022515	4942660	16
1930	ENSMUSG00000022516	4938761	16
1931	ENSMUSG00000022517	4886249	16
1932	ENSMUSG00000022519	4523063	16
1933	ENSMUSG00000022521	4088595	16
1934	ENSMUSG00000022528	30064384	16
1935	ENSMUSG00000022529	3744093	16
1936	ENSMUSG00000022533	30333848	16
1937	ENSMUSG00000022536	5049857	16
1938	ENSMUSG00000022538	30568109	16
1939	ENSMUSG00000022540	5010118	16
1940	ENSMUSG00000022544	5248870	16
1941	ENSMUSG00000022545	13109684	16
1942	ENSMUSG00000022548	31303445	16
1943	ENSMUSG00000022550	76576358	15
1944	ENSMUSG00000022551	76343523	15
1945	ENSMUSG00000022552	76347684	15
1946	ENSMUSG00000022553	76351294	15
1947	ENSMUSG00000022554	76368898	15
1948	ENSMUSG00000022555	76503180	15
1949	ENSMUSG00000022556	76477422	15
1950	ENSMUSG00000022557	76454743	15
1951	ENSMUSG00000022559	76537986	15
1952	ENSMUSG00000022561	76331231	15
1953	ENSMUSG00000022565	76188043	15
1954	ENSMUSG00000022570	75926521	15
1955	ENSMUSG00000022571	75921560	15
1956	ENSMUSG00000022574	75891633	15
1957	ENSMUSG00000022587	74955051	15
1958	ENSMUSG00000022601	55973883	16
1959	ENSMUSG00000022602	74672568	15
1960	ENSMUSG00000022604	55934233	16
1961	ENSMUSG00000022607	73209491	15
1962	ENSMUSG00000022614	89352163	15
1963	ENSMUSG00000022617	89427159	15
1964	ENSMUSG00000022635	93388144	15
1965	ENSMUSG00000022641	50330993	16
1966	ENSMUSG00000022652	48431237	16
1967	ENSMUSG00000022656	46411169	16
1968	ENSMUSG00000022663	45158785	16
1969	ENSMUSG00000022664	45151921	16
1970	ENSMUSG00000022668	44746283	16
1971	ENSMUSG00000022671	15862722	16
1972	ENSMUSG00000022672	15637866	16
1973	ENSMUSG00000022673	15635306	16
1974	ENSMUSG00000022674	15594472	16
1975	ENSMUSG00000022677	14317332	16
1976	ENSMUSG00000022678	14163275	16
1977	ENSMUSG00000022680	13837081	16
1978	ENSMUSG00000022681	13818845	16
1979	ENSMUSG00000022682	13780708	16
1980	ENSMUSG00000022683	13730443	16
1981	ENSMUSG00000022684	13671858	16
1982	ENSMUSG00000022685	13667982	16
1983	ENSMUSG00000022686	19760208	16
1984	ENSMUSG00000022698	44139830	16
1985	ENSMUSG00000022701	43889800	16
1986	ENSMUSG00000022702	18877037	16
1987	ENSMUSG00000022704	43867555	16
1988	ENSMUSG00000022706	18876539	16
1989	ENSMUSG00000022710	8697581	16
1990	ENSMUSG00000022711	8637674	16
1991	ENSMUSG00000022718	18257130	16
1992	ENSMUSG00000022721	18248679	16
1993	ENSMUSG00000022722	59632520	16
1994	ENSMUSG00000022723	59525614	16
1995	ENSMUSG00000022724	59471775	16
1996	ENSMUSG00000022744	58727910	16
1997	ENSMUSG00000022748	57606776	16
1998	ENSMUSG00000022749	57178256	16
1999	ENSMUSG00000022750	17759618	16
2000	ENSMUSG00000022751	57160141	16
2001	ENSMUSG00000022752	57121703	16
2002	ENSMUSG00000022757	56705694	16
2003	ENSMUSG00000022760	17529148	16
2004	ENSMUSG00000022761	17508688	16
2005	ENSMUSG00000022765	17405986	16
2006	ENSMUSG00000022769	17132383	16
2007	ENSMUSG00000022770	31663443	16
2008	ENSMUSG00000022771	17089459	16
2009	ENSMUSG00000022772	31989177	16
2010	ENSMUSG00000022774	31948513	16
2011	ENSMUSG00000022779	16870736	16
2012	ENSMUSG00000022781	32044000	16
2013	ENSMUSG00000022787	32247227	16
2014	ENSMUSG00000022789	16317446	16
2015	ENSMUSG00000022792	16302965	16
2016	ENSMUSG00000022797	32608920	16
2017	ENSMUSG00000022800	32877500	16
2018	ENSMUSG00000022801	32914100	16
2019	ENSMUSG00000022807	33185071	16
2020	ENSMUSG00000022808	33251442	16
2021	ENSMUSG00000022811	33380836	16
2022	ENSMUSG00000022812	38089001	16
2023	ENSMUSG00000022814	33967003	16
2024	ENSMUSG00000022816	37776873	16
2025	ENSMUSG00000022820	37649359	16
2026	ENSMUSG00000022822	20335226	16
2027	ENSMUSG00000022827	37539885	16
2028	ENSMUSG00000022828	37539776	16
2029	ENSMUSG00000022833	34690616	16
2030	ENSMUSG00000022837	36828385	16
2031	ENSMUSG00000022841	20535478	16
2032	ENSMUSG00000022842	20629828	16
2033	ENSMUSG00000022843	20708734	16
2034	ENSMUSG00000022844	35413175	16
2035	ENSMUSG00000022849	35770375	16
2036	ENSMUSG00000022855	22009484	16
2037	ENSMUSG00000022856	21947531	16
2038	ENSMUSG00000022858	22251853	16
2039	ENSMUSG00000022863	78373336	16
2040	ENSMUSG00000022864	78560244	16
2041	ENSMUSG00000022865	78301489	16
2042	ENSMUSG00000022881	23114744	16
2043	ENSMUSG00000022883	72308306	16
2044	ENSMUSG00000022884	23107444	16
2045	ENSMUSG00000022889	84735230	16
2046	ENSMUSG00000022890	84828813	16
2047	ENSMUSG00000022895	95702075	16
2048	ENSMUSG00000022897	94570010	16
2049	ENSMUSG00000022898	94504387	16
2050	ENSMUSG00000022900	36693978	16
2051	ENSMUSG00000022905	35978750	16
2052	ENSMUSG00000022906	35938470	16
2053	ENSMUSG00000022911	62802836	16
2054	ENSMUSG00000022912	62854307	16
2055	ENSMUSG00000022913	95989898	16
2056	ENSMUSG00000022914	96009013	16
2057	ENSMUSG00000022940	94365517	16
2058	ENSMUSG00000022945	93883901	16
2059	ENSMUSG00000022948	93584008	16
2060	ENSMUSG00000022956	91926684	16
2061	ENSMUSG00000022957	91729281	16
2062	ENSMUSG00000022960	91681310	16
2063	ENSMUSG00000022961	91647506	16
2064	ENSMUSG00000022962	91621927	16
2065	ENSMUSG00000022964	91597664	16
2066	ENSMUSG00000022967	91485238	16
2067	ENSMUSG00000022972	90927505	16
2068	ENSMUSG00000022973	90944871	16
2069	ENSMUSG00000022974	91019231	16
2070	ENSMUSG00000022978	90727139	16
2071	ENSMUSG00000022982	90220754	16
2072	ENSMUSG00000022983	90230208	16
2073	ENSMUSG00000022992	98529453	15
2074	ENSMUSG00000022995	181906838	1
2075	ENSMUSG00000022999	98906504	15
2076	ENSMUSG00000023004	98934438	15
2077	ENSMUSG00000023007	99295087	15
2078	ENSMUSG00000023010	99392882	15
2079	ENSMUSG00000023015	99632804	15
2080	ENSMUSG00000023018	99702129	15
2081	ENSMUSG00000023020	99725647	15
2082	ENSMUSG00000023021	99747070	15
2083	ENSMUSG00000023022	99783973	15
2084	ENSMUSG00000023025	99970065	15
2085	ENSMUSG00000023026	100038664	15
2086	ENSMUSG00000023027	100227819	15
2087	ENSMUSG00000023030	100403243	15
2088	ENSMUSG00000023032	100761747	15
2089	ENSMUSG00000023034	101254269	15
2090	ENSMUSG00000023044	102179019	15
2091	ENSMUSG00000023048	102459028	15
2092	ENSMUSG00000023050	102510700	15
2093	ENSMUSG00000023051	102518192	15
2094	ENSMUSG00000023055	102709902	15
2095	ENSMUSG00000023067	29090976	17
2096	ENSMUSG00000023068	52417547	10
2097	ENSMUSG00000023072	35397035	7
2098	ENSMUSG00000023075	123743507	4
2099	ENSMUSG00000023079	134361140	5
2100	ENSMUSG00000023087	51224447	3
2101	ENSMUSG00000023088	14361558	16
2102	ENSMUSG00000023089	24522866	6
2103	ENSMUSG00000023094	19371440	2
2104	ENSMUSG00000023104	134581366	5
2105	ENSMUSG00000023106	123907175	5
2106	ENSMUSG00000023110	54513456	14
2107	ENSMUSG00000023118	19024377	7
2108	ENSMUSG00000023143	5197765	16
2109	ENSMUSG00000023147	96145407	16
2110	ENSMUSG00000023150	151344477	1
2111	ENSMUSG00000023156	8080367	14
2112	ENSMUSG00000023169	96579584	15
2113	ENSMUSG00000023175	79704491	10
2114	ENSMUSG00000023235	4325210	8
2115	ENSMUSG00000023243	20145294	14
2116	ENSMUSG00000023262	106435163	9
2117	ENSMUSG00000023272	88819646	15
2118	ENSMUSG00000023277	106203108	9
2119	ENSMUSG00000023284	110110092	5
2120	ENSMUSG00000023286	155943831	4
2121	ENSMUSG00000023307	37207543	19
2122	ENSMUSG00000023330	126152141	2
2123	ENSMUSG00000023345	106281061	9
2124	ENSMUSG00000023348	137314164	5
2125	ENSMUSG00000023403	49395604	6
2126	ENSMUSG00000023452	32740384	5
2127	ENSMUSG00000023456	124811886	6
2128	ENSMUSG00000023460	66500319	17
2129	ENSMUSG00000023495	106453291	9
2130	ENSMUSG00000023505	124829547	6
2131	ENSMUSG00000023572	121008403	2
2132	ENSMUSG00000023723	88204388	11
2133	ENSMUSG00000023755	98880746	15
2134	ENSMUSG00000023764	3136007	11
2135	ENSMUSG00000023791	32088155	16
2136	ENSMUSG00000023809	7170115	17
2137	ENSMUSG00000023826	10840384	17
2138	ENSMUSG00000023827	12118704	17
2139	ENSMUSG00000023830	12701279	17
2140	ENSMUSG00000023832	12956345	17
2141	ENSMUSG00000023845	17575559	17
2142	ENSMUSG00000023852	15704967	17
2143	ENSMUSG00000023861	8282904	17
2144	ENSMUSG00000023883	14946828	17
2145	ENSMUSG00000023892	21450374	17
2146	ENSMUSG00000023902	23600856	17
2147	ENSMUSG00000023904	23673596	17
2148	ENSMUSG00000023906	23679249	17
2149	ENSMUSG00000023908	23726336	17
2150	ENSMUSG00000023915	43016555	17
2151	ENSMUSG00000023919	40927204	17
2152	ENSMUSG00000023921	40934685	17
2153	ENSMUSG00000023932	45415684	17
2154	ENSMUSG00000023938	45506841	17
2155	ENSMUSG00000023939	45686322	17
2156	ENSMUSG00000023940	53689278	17
2157	ENSMUSG00000023942	45588741	17
2158	ENSMUSG00000023944	45569736	17
2159	ENSMUSG00000023961	44105764	17
2160	ENSMUSG00000023967	46110986	17
2161	ENSMUSG00000023971	46674255	17
2162	ENSMUSG00000023972	46572950	17
2163	ENSMUSG00000023973	46737627	17
2164	ENSMUSG00000023977	46933075	17
2165	ENSMUSG00000023980	47502272	17
2166	ENSMUSG00000023988	47611492	17
2167	ENSMUSG00000023990	47737030	17
2168	ENSMUSG00000023994	48392145	17
2169	ENSMUSG00000024002	32198579	17
2170	ENSMUSG00000024006	28973077	17
2171	ENSMUSG00000024007	29251995	17
2172	ENSMUSG00000024008	29159505	17
2173	ENSMUSG00000024012	29334107	17
2174	ENSMUSG00000024014	29490753	17
2175	ENSMUSG00000024026	30597539	17
2176	ENSMUSG00000024030	31057675	17
2177	ENSMUSG00000024036	31286792	17
2178	ENSMUSG00000024037	31501293	17
2179	ENSMUSG00000024038	31520115	17
2180	ENSMUSG00000024039	31617873	17
2181	ENSMUSG00000024042	31851575	17
2182	ENSMUSG00000024043	67873048	17
2183	ENSMUSG00000024044	69075683	17
2184	ENSMUSG00000024045	32315730	17
2185	ENSMUSG00000024048	70997307	17
2186	ENSMUSG00000024052	71182560	17
2187	ENSMUSG00000024054	71349006	17
2188	ENSMUSG00000024056	71513108	17
2189	ENSMUSG00000024067	74316203	17
2190	ENSMUSG00000024068	74338987	17
2191	ENSMUSG00000024069	74395608	17
2192	ENSMUSG00000024070	78985448	17
2193	ENSMUSG00000024072	74489493	17
2194	ENSMUSG00000024073	74528295	17
2195	ENSMUSG00000024077	78684352	17
2196	ENSMUSG00000024078	74717732	17
2197	ENSMUSG00000024079	78858980	17
2198	ENSMUSG00000024081	78922841	17
2199	ENSMUSG00000024082	78937136	17
2200	ENSMUSG00000024083	64313031	17
2201	ENSMUSG00000024091	65594970	17
2202	ENSMUSG00000024095	80035556	17
2203	ENSMUSG00000024096	65859045	17
2204	ENSMUSG00000024097	80204945	17
2205	ENSMUSG00000024098	65926409	17
2206	ENSMUSG00000024099	66092213	17
2207	ENSMUSG00000024104	116208038	6
2208	ENSMUSG00000024114	23844149	17
2209	ENSMUSG00000024118	24220615	17
2210	ENSMUSG00000024120	84731184	17
2211	ENSMUSG00000024121	24167029	17
2212	ENSMUSG00000024122	24093798	17
2213	ENSMUSG00000024127	85077474	17
2214	ENSMUSG00000024132	24426641	17
2215	ENSMUSG00000024135	86040364	17
2216	ENSMUSG00000024137	24444534	17
2217	ENSMUSG00000024140	86753700	17
2218	ENSMUSG00000024142	24477920	17
2219	ENSMUSG00000024145	87025406	17
2220	ENSMUSG00000024146	87025550	17
2221	ENSMUSG00000024150	87265863	17
2222	ENSMUSG00000024151	87672330	17
2223	ENSMUSG00000024158	24840143	17
2224	ENSMUSG00000024163	24899717	17
2225	ENSMUSG00000024165	24960636	17
2226	ENSMUSG00000024170	25101426	17
2227	ENSMUSG00000024174	55712578	17
2228	ENSMUSG00000024177	26094168	17
2229	ENSMUSG00000024180	26113299	17
2230	ENSMUSG00000024181	26123500	17
2231	ENSMUSG00000024187	26216958	17
2232	ENSMUSG00000024188	26252896	17
2233	ENSMUSG00000024190	26507723	17
2234	ENSMUSG00000024191	26781066	17
2235	ENSMUSG00000024194	26939158	17
2236	ENSMUSG00000024197	56290511	17
2237	ENSMUSG00000024201	56326062	17
2238	ENSMUSG00000024208	27133623	17
2239	ENSMUSG00000024213	27583319	17
2240	ENSMUSG00000024217	27838150	17
2241	ENSMUSG00000024218	27903271	17
2242	ENSMUSG00000024222	28418504	17
2243	ENSMUSG00000024228	59003707	17
2244	ENSMUSG00000024231	3382988	18
2245	ENSMUSG00000024232	3507923	18
2246	ENSMUSG00000024234	4375592	18
2247	ENSMUSG00000024236	4920540	18
2248	ENSMUSG00000024240	6441894	18
2249	ENSMUSG00000024241	80479969	17
2250	ENSMUSG00000024242	80583514	17
2251	ENSMUSG00000024246	81065067	17
2252	ENSMUSG00000024248	83504506	17
2253	ENSMUSG00000024251	84229860	17
2254	ENSMUSG00000024253	84626496	17
2255	ENSMUSG00000024258	31789159	18
2256	ENSMUSG00000024259	31609902	18
2257	ENSMUSG00000024260	31634371	18
2258	ENSMUSG00000024269	25168694	18
2259	ENSMUSG00000024270	24599420	18
2260	ENSMUSG00000024271	24602866	18
2261	ENSMUSG00000024273	24470850	18
2262	ENSMUSG00000024276	23954692	18
2263	ENSMUSG00000024277	23752333	18
2264	ENSMUSG00000024283	7868832	18
2265	ENSMUSG00000024286	9386809	18
2266	ENSMUSG00000024287	9957906	18
2267	ENSMUSG00000024290	10067910	18
2268	ENSMUSG00000024293	10610063	18
2269	ENSMUSG00000024294	10725548	18
2270	ENSMUSG00000024298	32787547	17
2271	ENSMUSG00000024300	33555707	17
2272	ENSMUSG00000024301	26917091	17
2273	ENSMUSG00000024308	33915899	17
2274	ENSMUSG00000024309	33940304	17
2275	ENSMUSG00000024312	33940660	17
2276	ENSMUSG00000024317	21001341	18
2277	ENSMUSG00000024319	33955812	17
2278	ENSMUSG00000024327	34031028	17
2279	ENSMUSG00000024335	34113732	17
2280	ENSMUSG00000024346	36451244	18
2281	ENSMUSG00000024350	35686743	18
2282	ENSMUSG00000024354	35622606	18
2283	ENSMUSG00000024359	34939310	18
2284	ENSMUSG00000024360	34932007	18
2285	ENSMUSG00000024369	34850391	17
2286	ENSMUSG00000024370	34634630	18
2287	ENSMUSG00000024376	33799202	18
2288	ENSMUSG00000024378	33213766	18
2289	ENSMUSG00000024382	32240300	18
2290	ENSMUSG00000024384	32067741	18
2291	ENSMUSG00000024387	35118072	17
2292	ENSMUSG00000024392	35135178	17
2293	ENSMUSG00000024393	35150366	17
2294	ENSMUSG00000024400	31804090	18
2295	ENSMUSG00000024404	12128741	18
2296	ENSMUSG00000024406	35506018	17
2297	ENSMUSG00000024410	12168717	18
2298	ENSMUSG00000024413	12194270	18
2299	ENSMUSG00000024414	94653767	11
2300	ENSMUSG00000024422	35879819	17
2301	ENSMUSG00000024423	12955852	18
2302	ENSMUSG00000024425	38410396	18
2303	ENSMUSG00000024426	35898582	17
2304	ENSMUSG00000024427	38601415	18
2305	ENSMUSG00000024429	35979851	17
2306	ENSMUSG00000024431	39487232	18
2307	ENSMUSG00000024436	35912566	17
2308	ENSMUSG00000024442	38250255	18
2309	ENSMUSG00000024446	36256350	17
